,Unnamed: 0_atm,交易日期,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_otm,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Return
75,89,2016-07-06,2.15,2698.0,49,10000653.SH,0.04,2.28,2.184,0.1292417818333741,put,-0.6122448979591837,0.183680965685606,1,365,2.1,2962.0,49,10000652.SH,0.02,2.28,2.184,0.1292417818333741,put,-0.6122448979591837,0.1712301576638818,0.96,-0.6122448979591837
76,90,2016-07-07,2.2,2348.0,48,10000654.SH,0.06,2.28,2.189,0.1278286901087354,put,-0.625,0.1824064998082518,1,368,2.1,2284.0,48,10000652.SH,0.02,2.28,2.189,0.1278286901087354,put,-0.625,0.1777094177299141,0.96,-0.625
77,91,2016-07-08,2.15,2385.0,47,10000653.SH,0.04,2.28,2.177,0.1274875670921251,put,-0.6382978723404256,0.1781729032159447,1,372,2.1,2040.0,47,10000652.SH,0.02,2.28,2.177,0.1274875670921251,put,-0.6382978723404256,0.1675862891321182,0.96,-0.6382978723404256
78,92,2016-07-11,2.2,3705.0,44,10000654.SH,0.06,2.28,2.188,0.1283103809915212,put,-0.6818181818181818,0.1878982306134104,1,375,2.1,5038.0,44,10000652.SH,0.02,2.28,2.188,0.1283103809915212,put,-0.6818181818181818,0.1840239306401609,0.96,-0.6818181818181818
79,93,2016-07-12,2.25,2673.0,43,10000656.SH,0.06,2.28,2.233,0.1436027439727203,put,-0.6976744186046512,0.1774628930423855,1,380,2.15,7056.0,43,10000653.SH,0.02,2.28,2.233,0.1436027439727203,put,-0.6976744186046512,0.1768794830710291,0.96,-0.6976744186046512
80,94,2016-07-13,2.25,5333.0,42,10000656.SH,0.06,2.28,2.236,0.1100278145596378,put,-0.7142857142857143,0.184422268282026,1,385,2.15,7545.0,42,10000653.SH,0.02,2.28,2.236,0.1100278145596378,put,-0.7142857142857143,0.1818821580103338,0.96,-0.7142857142857143
81,95,2016-07-14,2.25,4027.0,41,10000656.SH,0.06,2.28,2.233,0.1104462324933755,put,-0.7317073170731707,0.1812209640164375,1,390,2.15,5133.0,41,10000653.SH,0.02,2.28,2.233,0.1104462324933755,put,-0.7317073170731707,0.1808384215975403,0.96,-0.7317073170731707
82,96,2016-07-15,2.25,2225.0,40,10000656.SH,0.06,2.28,2.236,0.1104842190460664,put,-0.75,0.1884608981787562,1,395,2.15,3778.0,40,10000653.SH,0.02,2.28,2.236,0.1104842190460664,put,-0.75,0.1860678920968175,0.96,-0.75
83,97,2016-07-18,2.25,3636.0,37,10000656.SH,0.06,2.28,2.228,0.1106562651702796,put,-0.8108108108108109,0.1802621045753658,1,400,2.15,4809.0,37,10000653.SH,0.02,2.28,2.228,0.1106562651702796,put,-0.8108108108108109,0.1842228908449411,0.96,-0.8108108108108109
84,98,2016-07-19,2.2,8538.0,36,10000654.SH,0.04,2.28,2.216,0.1139067645690578,put,-0.8333333333333334,0.180250541280061,1,405,2.15,7052.0,36,10000653.SH,0.02,2.28,2.216,0.1139067645690578,put,-0.8333333333333334,0.1728840069155394,0.97,-0.8333333333333334
85,99,2016-07-20,2.2,6392.0,35,10000654.SH,0.04,2.28,2.209,0.1153670135879003,put,-0.8571428571428571,0.1713461482446193,1,409,2.15,6552.0,35,10000653.SH,0.02,2.28,2.209,0.1153670135879003,put,-0.8571428571428571,0.1668039189559817,0.97,-0.8571428571428571
