,交易日期,CV_1,intensity_1,size_1,sizevol_1
284,2017-04-06,3.896288091924887e-05,0,0.0,0.0
285,2017-04-07,2.5735322602350625e-05,0,0.0,0.0
286,2017-04-10,2.554246866650397e-05,0,0.0,0.0
287,2017-04-11,3.863374258933695e-05,0,0.0,0.0
288,2017-04-12,4.188362444695911e-05,1,0.06900698366716444,0.8619576234237165
289,2017-04-13,2.762292940393176e-05,0,0.0,0.0
290,2017-04-14,2.9710801931624423e-05,0,0.0,0.0
291,2017-04-17,4.3801032091981494e-05,0,0.0,0.0
292,2017-04-18,1.3116801727599691e-05,1,0.047488290512184644,0.3721136410299956
293,2017-04-19,3.6708236255581676e-05,0,0.0,0.0
294,2017-04-20,3.550391159677074e-05,0,0.0,0.0
295,2017-04-21,2.2525577531963298e-05,0,0.0,0.0
296,2017-04-24,3.905636398008236e-05,0,0.0,0.0
297,2017-04-25,2.3913692271289226e-05,0,0.0,0.0
298,2017-04-26,3.068618083207749e-05,0,0.0,0.0
299,2017-04-27,3.1536378877282965e-05,0,0.0,0.0
300,2017-04-28,2.6916924338294858e-05,0,0.0,0.0
301,2017-05-02,2.2132896807354538e-05,0,0.0,0.0
302,2017-05-03,2.5223400187597042e-05,0,0.0,0.0
303,2017-05-04,3.5071625766286557e-05,0,0.0,0.0
304,2017-05-05,4.8513444493137685e-05,0,0.0,0.0
305,2017-05-08,5.2948812151458005e-05,0,0.0,0.0
306,2017-05-09,1.9058092992066016e-05,1,0.049438663646962144,0.3788673763432512
307,2017-05-10,3.27654732505027e-05,0,0.0,0.0
308,2017-05-11,3.915352567022714e-05,0,0.0,0.0
309,2017-05-12,4.899266318386776e-05,0,0.0,0.0
310,2017-05-15,4.891112556785311e-05,0,0.0,0.0
311,2017-05-16,3.281421779239286e-05,0,0.0,0.0
312,2017-05-17,2.502040224194643e-05,0,0.0,0.0
313,2017-05-18,2.9815337018944465e-05,0,0.0,0.0
314,2017-05-19,1.6160926018870618e-05,1,0.04904480795957973,0.40652835294897294
315,2017-05-22,4.146138085885568e-05,0,0.0,0.0
316,2017-05-23,6.300365242585406e-05,0,0.0,0.0
317,2017-05-24,5.423071672759622e-05,0,0.0,0.0
318,2017-05-25,0.00010870304954805365,0,0.0,0.0
319,2017-05-26,7.148764176758221e-05,0,0.0,0.0
320,2017-05-31,7.122568898205718e-05,0,0.0,0.0
321,2017-06-01,8.197827541875371e-05,0,0.0,0.0
322,2017-06-02,5.607138616396777e-05,0,0.0,0.0
323,2017-06-05,5.229395203840423e-05,0,0.0,0.0
324,2017-06-06,4.630883720029247e-05,0,0.0,0.0
325,2017-06-07,6.294433286120377e-05,0,0.0,0.0
326,2017-06-08,4.976080617594212e-05,0,0.0,0.0
327,2017-06-09,5.857018199259527e-05,0,0.0,0.0
328,2017-06-12,4.242549594777348e-05,1,0.08242052527413207,1.4130171967254406
329,2017-06-13,4.970038350428427e-05,0,0.0,0.0
330,2017-06-14,4.749706754286086e-05,0,0.0,0.0
331,2017-06-15,4.358501431182013e-05,0,0.0,0.0
332,2017-06-16,4.819937268591299e-05,0,0.0,0.0
333,2017-06-19,5.878582500602566e-05,0,0.0,0.0
334,2017-06-20,5.913092566020558e-05,0,0.0,0.0
335,2017-06-21,6.517361741415942e-05,1,0.09674359327057126,2.012315365150132
336,2017-06-22,9.55945133045923e-05,0,0.0,0.0
337,2017-06-23,7.435528804256491e-05,1,0.11250691653156382,2.8101051076768644
338,2017-06-26,8.514860969729105e-05,0,0.0,0.0
339,2017-06-27,6.978182327473575e-05,0,0.0,0.0
340,2017-06-28,5.9792681042615294e-05,0,0.0,0.0
341,2017-06-29,6.391740221863403e-05,0,0.0,0.0
342,2017-06-30,4.6871019954282244e-05,0,0.0,0.0
343,2017-07-03,5.3121207697590946e-05,0,0.0,0.0
344,2017-07-04,4.418079334164641e-05,0,0.0,0.0
345,2017-07-05,5.908986300116713e-05,0,0.0,0.0
346,2017-07-06,5.897877599241635e-05,0,0.0,0.0
347,2017-07-07,5.2989328929785194e-05,0,0.0,0.0
348,2017-07-10,5.8362970377661e-05,0,0.0,0.0
349,2017-07-11,7.65909314655815e-05,0,0.0,0.0
350,2017-07-12,0.00011370122032165316,0,0.0,0.0
